year,province,income
2015,Beijing,52859.17427
2015,Tianjin,34101.3473
2015,Hebei,26152.16202
2015,Shanxi,25827.71719
2015,Inner Mongolia,30594.09585
2015,Liaoning,31125.734
2015,Jilin,24900.85624
2015,Heilongjiang,24202.62498
2015,Shanghai,52961.86495
2015,Jiangsu,37173.48338
2015,Zhejiang,43714.47938
2015,Anhui,26935.7634
2015,Fujian,33275.34497
2015,Jiangxi,26500.11771
2015,Shandong,31545.26701
2015,Henan,25575.61375
2015,Hubei,27051.46582
2015,Hunan,28838.06825
2015,Guangdong,34757.15843
2015,Guangxi,26415.8717
2015,Hainan,26356.42449
2015,Chongqing,27238.84244
2015,Sichuan,26205.25294
2015,Guizhou,24579.63543
2015,Yunan,26373.23292
2015,Tibet,25456.63346
2015,Shaanxi,26420.21131
2015,Gansu,23767.08433
2015,Qinghai,24542.34894
2015,Ningxia,25186.01319
2015,Xinjiang,26274.65579
2016,Beijing,57275.31079
2016,Tianjin,37109.57286
2016,Hebei,28249.39182
2016,Shanxi,27352.33097
2016,Inner Mongolia,32974.94643
2016,Liaoning,32876.09038
2016,Jilin,26530.41661
2016,Heilongjiang,25736.43232
2016,Shanghai,57691.66936
2016,Jiangsu,40151.59444
2016,Zhejiang,47237.17834
2016,Anhui,29155.98415
2016,Fujian,36014.2605
2016,Jiangxi,28673.27631
2016,Shandong,34012.08426
2016,Henan,27232.92014
2016,Hubei,29385.79697
2016,Hunan,31283.89343
2016,Guangdong,37684.25234
2016,Guangxi,28324.43488
2016,Hainan,28453.47122
2016,Chongqing,29609.96374
2016,Sichuan,28335.29795
2016,Guizhou,26742.61149
2016,Yunan,28610.57307
2016,Tibet,27802.39307
2016,Shaanxi,28440.09013
2016,Gansu,25693.49231
2016,Qinghai,26757.40524
2016,Ningxia,27153.00807
2016,Xinjiang,28463.42739
2017,Beijing,62406.34222
2017,Tianjin,40277.53931
2017,Hebei,30547.75811
2017,Shanxi,29131.80796
2017,Inner Mongolia,35670.02049
2017,Liaoning,34993.39031
2017,Jilin,28318.74937
2017,Heilongjiang,27445.99264
2017,Shanghai,62595.73758
2017,Jiangsu,43621.75304
2017,Zhejiang,51260.73102
2017,Anhui,31640.31672
2017,Fujian,39001.35876
2017,Jiangxi,31198.06464
2017,Shandong,36789.35485
2017,Henan,29557.85889
2017,Hubei,31889.41518
2017,Hunan,33947.93511
2017,Guangdong,40975.14014
2017,Guangxi,30502.06822
2017,Hainan,30817.37418
2017,Chongqing,32193.22786
2017,Sichuan,30726.86812
2017,Guizhou,29079.84378
2017,Yunan,30995.8754
2017,Tibet,30671.12967
2017,Shaanxi,30810.25538
2017,Gansu,27763.40442
2017,Qinghai,29168.85599
2017,Ningxia,29472.27827
2017,Xinjiang,30774.80296
2018,Beijing,67989.88886
2018,Tianjin,42976.25264
2018,Hebei,32977.17583
2018,Shanxi,31034.80226
2018,Inner Mongolia,38304.67874
2018,Liaoning,37341.92868
2018,Jilin,30171.93727
2018,Heilongjiang,29191.32576
2018,Shanghai,68033.62414
2018,Jiangsu,47199.96701
2018,Zhejiang,55574.30954
2018,Anhui,34393.08489
2018,Fujian,42121.311
2018,Jiangxi,33819.39556
2018,Shandong,39549.43206
2018,Henan,31874.18793
2018,Hubei,34454.6274
2018,Hunan,36698.25386
2018,Guangdong,44340.97025
2018,Guangxi,32436.06711
2018,Hainan,33348.65211
2018,Chongqing,34889.30052
2018,Sichuan,33215.91257
2018,Guizhou,31591.9301
2018,Yunan,33487.94069
2018,Tibet,33797.3828
2018,Shaanxi,33319.25224
2018,Gansu,29957.00284
2018,Qinghai,31514.52632
2018,Ningxia,31895.21672
2018,Xinjiang,32763.54647
2019,Beijing,73848.51337
2019,Tianjin,46118.88892
2019,Hebei,35737.68343
2019,Shanxi,33262.36558
2019,Inner Mongolia,40782.45901
2019,Liaoning,39777.20413
2019,Jilin,32299.17945
2019,Heilongjiang,30944.61761
2019,Shanghai,73615.32275
2019,Jiangsu,51056.10764
2019,Zhejiang,60182.28832
2019,Anhui,37540.03575
2019,Fujian,45620.45562
2019,Jiangxi,36545.89813
2019,Shandong,42329.23351
2019,Henan,34200.97088
2019,Hubei,37601.35958
2019,Hunan,39841.92529
2019,Guangdong,48117.55321
2019,Guangxi,34744.86694
2019,Hainan,36016.6995
2019,Chongqing,37938.59107
2019,Sichuan,36153.73207
2019,Guizhou,34404.16547
2019,Yunan,36237.68092
2019,Tibet,37409.97388
2019,Shaanxi,36098.20861
2019,Gansu,32323.44964
2019,Qinghai,33830.33086
2019,Ningxia,34328.45111
2019,Xinjiang,34663.73337
2020,Beijing,75601.51771
2020,Tianjin,47658.50322
2020,Hebei,37285.66791
2020,Shanxi,34792.70964
2020,Inner Mongolia,41353.09823
2020,Liaoning,40375.88998
2020,Jilin,33395.7
2020,Heilongjiang,31114.74994
2020,Shanghai,76437.25655
2020,Jiangsu,53101.69456
2020,Zhejiang,62699.27677
2020,Anhui,39442.08358
2020,Fujian,47160.26727
2020,Jiangxi,38555.84443
2020,Shandong,43726.2837
2020,Henan,34750.33636
2020,Hubei,36705.74339
2020,Hunan,41697.52169
2020,Guangdong,50256.96088
2020,Guangxi,35859.32469
2020,Hainan,37096.97442
2020,Chongqing,40006.21533
2020,Sichuan,38253.11894
2020,Guizhou,36096.1947
2020,Yunan,37499.5
2020,Tibet,41156.44955
2020,Shaanxi,37868.15872
2020,Gansu,33821.82733
2020,Qinghai,35505.79013
2020,Ningxia,35719.64945
2020,Xinjiang,34838.38946
